item,count
academic,6
accessibility,3
administrative,11
aggregate,3
approval,6
artificialintelligence,55
assistance,2
barrier,2
capability,5
chatbots,2
classification,3
classroom,2
collaboration,4
compliance,4
computer,2
consultation,3
context,5
control,2
create,4
cybersecurity,3
data,36
draft,7
employee,2
evaluate,3
event,3
expectation,1
explore,6
faculty,2
final,3
generative,11
guidance,23
guide,5
guideline,4
gws,14
human,4
identity,2
ithelpgwu,3
knowledge,2
languagemodels,2
learn,11
level,4
objective,4
output,5
personal,16
phone,1
pii,8
platform,2
policy,14
practice,11
privacy,25
product,2
program,2
prompt,1
protect,4
protection,7
public,5
quality,4
record,2
regulate,4
research,5
resource,3
restrict,5
review,15
risk,11
security,11
sensitivity,4
session,1
step,2
student,2
style,2
system,6
technology,16
tool,38
university,21
verify,6
virtual,2
applicable,1
attendees,1
companion,2
evaluation,1
genai,2
idea,1
language,2
law,1
model,4
office,9
requirement,3
teach,2
unauthorized,1
violation,2
